"files","basin","event.size.mm"
"Cdata_id_01013500.mat","01013500",5.38622994402031
"Cdata_id_01022500.mat","01022500",8.60382813049198
"Cdata_id_01030500.mat","01030500",6.1063011796115
"Cdata_id_01031500.mat","01031500",8.022776819433
"Cdata_id_01047000.mat","01047000",8.00621306796002
"Cdata_id_01052500.mat","01052500",6.89551358754697
"Cdata_id_01054200.mat","01054200",9.32455693506086
"Cdata_id_01055000.mat","01055000",7.72658485759992
"Cdata_id_01057000.mat","01057000",9.60023002520724
"Cdata_id_01073000.mat","01073000",10.4362468746294
"Cdata_id_01078000.mat","01078000",8.76564741030685
"Cdata_id_01118300.mat","01118300",11.5125051260464
"Cdata_id_01121000.mat","01121000",10.1995561795268
"Cdata_id_01123000.mat","01123000",10.5566573741095
"Cdata_id_01134500.mat","01134500",7.29074172950096
"Cdata_id_01137500.mat","01137500",8.2990040674345
"Cdata_id_01139000.mat","01139000",6.84526658758957
"Cdata_id_01139800.mat","01139800",8.19787892915641
"Cdata_id_01142500.mat","01142500",8.05750891346079
"Cdata_id_01144000.mat","01144000",6.91508958719548
"Cdata_id_01162500.mat","01162500",10.3053367541452
"Cdata_id_01169000.mat","01169000",8.90156751204897
"Cdata_id_01170100.mat","01170100",9.09946547956467
"Cdata_id_01181000.mat","01181000",9.23926401985417
"Cdata_id_01187300.mat","01187300",10.3792532161893
"Cdata_id_01333000.mat","01333000",8.79567923930374
"Cdata_id_01350000.mat","01350000",9.00225201561293
"Cdata_id_01350140.mat","01350140",8.46059201915276
"Cdata_id_01365000.mat","01365000",10.6032250372779
"Cdata_id_01411300.mat","01411300",10.3075329325243
"Cdata_id_01413500.mat","01413500",8.07158212957621
"Cdata_id_01414500.mat","01414500",9.13082391011542
"Cdata_id_01415000.mat","01415000",8.18091504127361
"Cdata_id_01423000.mat","01423000",7.04701607847201
"Cdata_id_01435000.mat","01435000",10.2952281501046
"Cdata_id_01439500.mat","01439500",8.55620833416116
"Cdata_id_01440000.mat","01440000",8.77045086760688
"Cdata_id_01440400.mat","01440400",9.08180427129472
"Cdata_id_01451800.mat","01451800",10.1531314679802
"Cdata_id_01466500.mat","01466500",11.6119467599709
"Cdata_id_01484100.mat","01484100",10.8811484030044
"Cdata_id_01485500.mat","01485500",10.5043970024414
"Cdata_id_01486000.mat","01486000",11.3183463756931
"Cdata_id_01487000.mat","01487000",10.2761931985569
"Cdata_id_01491000.mat","01491000",9.95364152959415
"Cdata_id_01510000.mat","01510000",6.15379162451009
"Cdata_id_01516500.mat","01516500",8.24668883641232
"Cdata_id_01532000.mat","01532000",7.56712020105096
"Cdata_id_01539000.mat","01539000",8.17472170108142
"Cdata_id_01542810.mat","01542810",7.56534863603256
"Cdata_id_01543000.mat","01543000",6.70253130944949
"Cdata_id_01543500.mat","01543500",6.24696935271576
"Cdata_id_01544500.mat","01544500",7.05991744222243
"Cdata_id_01545600.mat","01545600",7.6398494273958
"Cdata_id_01547700.mat","01547700",7.78051862298297
"Cdata_id_01548500.mat","01548500",6.16858491634624
"Cdata_id_01549500.mat","01549500",8.26446474069745
"Cdata_id_01550000.mat","01550000",7.3872844031766
"Cdata_id_01552000.mat","01552000",7.01181543356555
"Cdata_id_01552500.mat","01552500",9.22125499436305
"Cdata_id_01557500.mat","01557500",7.68463953970945
"Cdata_id_01567500.mat","01567500",10.1189163950235
"Cdata_id_01568000.mat","01568000",9.13863065450593
"Cdata_id_01580000.mat","01580000",9.08169648821002
"Cdata_id_01583500.mat","01583500",8.90791354710472
"Cdata_id_01591400.mat","01591400",9.61332595662022
"Cdata_id_01596500.mat","01596500",7.69514733433333
