"basin","BFI","Q.mm_y","Q90.mm_d","Q10.mm_d","FDC.slope","n.high.pulses","Qs.MAM","Qs.JJA","Qs.SON","Qs.DJF","Qs.range","class.Q.kmeans"
1013500,0.59,605,0.3271,4.0722,4.14,3.19,2.017174374,0.728438652,0.634502936,0.609618363,1.407556011,5
1022500,0.56,775,0.3282,4.9443,4.54,10.6,1.756161223,0.486574938,0.693290522,1.064387125,1.269586285,1
1030500,0.51,637,0.1837,4.6429,4.63,5.74,2.082244438,0.465261904,0.690123786,0.755756967,1.616982535,5
1031500,0.45,729,0.182,4.8995,5,11,2.00128837,0.49449233,0.788467734,0.709238034,1.506796039,1
1047000,0.48,779,0.288,5.0062,4.88,11.8,1.957449165,0.59793214,0.760345247,0.676808297,1.359517024,1
1052500,0.46,858,0.3759,5.4462,4.69,16.2,2.031536101,0.647673817,0.753301991,0.557512325,1.474023776,1
1054200,0.44,979,0.3514,5.742,4.7,14.8,1.924601195,0.546999606,0.84280586,0.679078546,1.377601589,1
1055000,0.44,797,0.2827,5.0861,4.68,15.7,1.955005312,0.61137062,0.791783936,0.63378128,1.343634692,1
1057000,0.48,654,0.1665,4.058,4.57,11.5,1.99582331,0.522948552,0.694038662,0.781343133,1.472874757,1
1073000,0.5,618,0.1263,3.9461,4.54,12.3,1.893664748,0.471745268,0.616366369,1.017126842,1.421919479,1
1078000,0.49,630,0.2094,4.0115,4.65,12.4,1.958350711,0.527494492,0.693719296,0.815454787,1.430856219,1
1118300,0.55,813,0.1615,4.8931,4.37,15.9,1.571960843,0.472834173,0.59112849,1.370453311,1.099126669,1
1121000,0.53,717,0.1713,4.0893,4.14,16.6,1.566178648,0.513288742,0.621188328,1.304647749,1.052889906,1
1123000,0.58,645,0.2854,3.513,4.23,15.4,1.547703788,0.553277657,0.603275759,1.300749376,0.994426131,1
1134500,0.48,744,0.3513,4.6297,4.35,17.4,1.85758701,0.648167945,0.800988735,0.686463024,1.209419065,1
1137500,0.54,839,0.5662,4.9786,4.31,15.4,1.786123139,0.658578207,0.831731097,0.717693213,1.127544932,1
1139000,0.57,602,0.3481,3.64,4.18,14.1,1.760070429,0.70821254,0.732416848,0.794257266,1.051857889,1
1139800,0.59,644,0.3298,4.0422,4.09,14,1.920804599,0.628986149,0.673269397,0.770538465,1.29181845,1
1142500,0.57,608,0.2924,3.6997,4.04,11.3,1.913705677,0.584783652,0.664312609,0.832118223,1.328922025,1
1144000,0.56,659,0.3335,3.9637,4.16,12.4,1.900553519,0.572430412,0.677091163,0.84530932,1.328123107,1
1162500,0.5,643,0.1468,4.1592,4.66,10.6,1.781382681,0.494048892,0.646301087,1.078681055,1.287333789,1
1169000,0.5,806,0.286,4.7555,4.65,15.9,1.882539457,0.493101182,0.713373799,0.908293445,1.389438275,1
1170100,0.53,774,0.2744,4.6188,4.5,14.9,1.875687138,0.498948782,0.704474488,0.91835559,1.376738356,1
1181000,0.49,763,0.2206,4.5221,4.84,16.1,1.796811725,0.490620576,0.702545123,1.009494163,1.306191149,1
1187300,0.44,724,0.1223,4.3495,4.76,17.6,1.685958664,0.454782563,0.771513971,1.08966886,1.231176101,1
1333000,0.55,718,0.3058,4.3427,4.33,13.6,1.655243467,0.523904396,0.72922883,1.093103591,1.131339072,1
1350000,0.45,739,0.1397,4.3424,4.98,13.6,1.730084366,0.442995299,0.798421361,1.029255268,1.287089068,1
1350140,0.46,518,0.0528,3.0582,4.6,14.3,1.89333526,0.416331368,0.550603316,1.140586002,1.477003892,1
1365000,0.55,954,0.3915,5.358,4.11,12.3,1.538982203,0.604753278,0.81193002,1.045635111,0.934228925,1
1411300,0.72,450,0.4336,2.2917,3.74,11,1.529928268,0.716784853,0.64261788,1.112206328,0.887310388,1
1413500,0.52,689,0.202,4.0276,4.52,10.9,1.667500853,0.505920185,0.714315858,1.113961763,1.161580668,1
1414500,0.53,789,0.2638,4.4726,4.18,12,1.577404269,0.525002593,0.805538592,1.094315128,1.052401676,1
1415000,0.51,630,0.1735,3.8349,4.37,12.4,1.599047241,0.490496247,0.756672014,1.156911191,1.108550994,1
1423000,0.52,638,0.165,3.8974,4.76,11.9,1.649277662,0.476317011,0.700425626,1.177093081,1.17296065,1
1435000,0.54,1036,0.5405,5.4763,4.15,15.3,1.517259248,0.591018053,0.884938667,1.007906056,0.926241194,1
1439500,0.58,719,0.2319,4.2215,4.07,10.7,1.495777026,0.553650614,0.74421789,1.210560859,0.942126412,1
1440000,0.59,640,0.2476,3.5388,4.3,13.6,1.544685539,0.564911795,0.68426939,1.209858377,0.979773744,1
1440400,0.55,737,0.2796,4.1801,4.47,11.8,1.497244577,0.545649899,0.754153169,1.207087715,0.951594678,1
1451800,0.47,635,0.1979,3.8138,4.49,13.8,1.337208866,0.53544595,0.811874923,1.322926855,0.801762916,1
1466500,0.84,340,0.4844,1.4679,3.46,7.89,1.352890069,0.895110096,0.716773619,1.035836675,0.63611645,5
1484100,0.71,347,0.2148,1.767,3.32,10.1,1.549129991,0.715186253,0.56186389,1.176327855,0.987266102,5
1485500,0.48,338,0.0517,2.1881,4.88,9.89,1.459175457,0.508510694,0.58665317,1.454636997,0.950664764,5
1486000,0.52,451,0.1045,2.669,4.98,12.4,1.489401659,0.556531123,0.512107362,1.450150531,0.977294296,1
1487000,0.74,452,0.3271,2.4073,3.7,8.04,1.528647225,0.700741233,0.596058563,1.17744622,0.932588662,5
1491000,0.56,432,0.1341,2.3963,4.3,10,1.626202529,0.592613258,0.491101562,1.294475884,1.135100967,5
1510000,0.51,649,0.1725,3.9094,4.74,14,1.719775546,0.458533443,0.658678614,1.165351862,1.261242103,1
1516500,0.41,373,0.0474,2.2098,5.6,12.6,1.793297205,0.487459499,0.572205091,1.148433048,1.305837707,3
1532000,0.43,482,0.0707,2.8299,5.17,13.4,1.66398613,0.429934518,0.662517391,1.247843243,1.234051612,3
1539000,0.52,636,0.2126,3.6246,4.35,13.1,1.519131413,0.543043603,0.690547078,1.25176172,0.97608781,1
1542810,0.38,566,0.0786,3.6699,5.15,13.4,1.614929524,0.532602832,0.676964431,1.178561007,1.082326692,3
1543000,0.45,597,0.1074,3.8119,4.87,12.1,1.591319529,0.553854777,0.675008631,1.182839595,1.037464752,1
1543500,0.48,594,0.1142,3.729,4.64,12.1,1.616988916,0.540622203,0.630124912,1.215602078,1.076366713,1
1544500,0.48,585,0.1172,3.6113,4.76,9.11,1.640621551,0.515634581,0.686507246,1.159959762,1.12498697,1
1545600,0.51,542,0.1162,3.3436,4.62,8.56,1.696201399,0.54018178,0.641410643,1.12364461,1.15601962,5
1547700,0.44,485,0.0708,2.9831,5.5,10.5,1.715282305,0.447056667,0.619467615,1.221778812,1.268225639,3
1548500,0.49,508,0.1241,3.2055,4.78,9.3,1.693082691,0.532137358,0.633515588,1.143027054,1.160945333,5
1549500,0.47,549,0.1009,3.2789,4.71,11.9,1.651281653,0.462700019,0.707062438,1.182366778,1.188581634,1
1550000,0.49,596,0.1512,3.4879,4.38,11.8,1.592026042,0.490696427,0.752578497,1.168089314,1.101329615,1
1552000,0.5,624,0.1846,3.4889,4.35,13.1,1.487985735,0.491763233,0.788579938,1.236980132,0.996222503,1
